UF;Raça/Cor;Situação do Domicílio;Tipo de família;Famílias
Minas Gerais;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;1217412
Minas Gerais;Todas as Raças;Todas as situações;Todos os tipos;2691943
Minas Gerais;Todas as Raças;Todas as situações;Casal com filhas/os;521587
Minas Gerais;Branca;Todas as situações;Outros Tipos;1136816
Minas Gerais;Negra;Todas as situações;Outros Tipos;1537743
Minas Gerais;Outras;Todas as situações;Outros Tipos;17384
Minas Gerais;Todas as Raças;Rural;Outros Tipos;213423
Minas Gerais;Todas as Raças;Urbana;Outros Tipos;2478520
Pará;Todas as Raças;Todas as situações;Casal sem filhas/os;86845
Pará;Todas as Raças;Todas as situações;Todos os tipos;897206
Pará;Todas as Raças;Todas as situações;Outros;72320
Pará;Todas as Raças;Todas as situações;Casal com filhas/os;234999
Pará;Todas as Raças;Todas as situações;Unipessoal;89069
Pará;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;413973
Pará;Branca;Todas as situações;Outros Tipos;186615
Pará;Negra;Todas as situações;Outros Tipos;703207
Pará;Outras;Todas as situações;Outros Tipos;7384
Pará;Todas as Raças;Rural;Outros Tipos;151901
Pará;Todas as Raças;Urbana;Outros Tipos;745305
Paraíba;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;258465
Paraíba;Todas as Raças;Todas as situações;Outros;49820
Paraíba;Todas as Raças;Todas as situações;Casal sem filhas/os;55432
Paraíba;Todas as Raças;Todas as situações;Todos os tipos;540597
Paraíba;Todas as Raças;Todas as situações;Casal com filhas/os;105254
Paraíba;Todas as Raças;Todas as situações;Unipessoal;71626
Paraíba;Branca;Todas as situações;Outros Tipos;188089
Paraíba;Negra;Todas as situações;Outros Tipos;348773
Paraíba;Outras;Todas as situações;Outros Tipos;3735
Paraíba;Todas as Raças;Rural;Outros Tipos;61039
Paraíba;Todas as Raças;Urbana;Outros Tipos;479558
Paraná;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;521924
Paraná;Todas as Raças;Todas as situações;Outros;77947
Paraná;Todas as Raças;Todas as situações;Todos os tipos;1438654
Paraná;Todas as Raças;Todas as situações;Casal com filhas/os;361939
Paraná;Todas as Raças;Todas as situações;Unipessoal;315524
Paraná;Todas as Raças;Todas as situações;Casal sem filhas/os;161320
Paraná;Branca;Todas as situações;Outros Tipos;945384
Paraná;Negra;Todas as situações;Outros Tipos;477507
Paraná;Outras;Todas as situações;Outros Tipos;15763
Paraná;Todas as Raças;Rural;Outros Tipos;109622
Paraná;Todas as Raças;Urbana;Outros Tipos;1329032
Pernambuco;Todas as Raças;Todas as situações;Casal sem filhas/os;147774
Pernambuco;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;582393
Pernambuco;Todas as Raças;Todas as situações;Unipessoal;204505
Pernambuco;Todas as Raças;Todas as situações;Casal com filhas/os;344132
Pernambuco;Todas as Raças;Todas as situações;Outros;110724
Pernambuco;Todas as Raças;Todas as situações;Todos os tipos;1389528
Pernambuco;Branca;Todas as situações;Outros Tipos;439336
Pernambuco;Negra;Todas as situações;Outros Tipos;940245
Pernambuco;Outras;Todas as situações;Outros Tipos;9947
Pernambuco;Todas as Raças;Rural;Outros Tipos;143635
Pernambuco;Todas as Raças;Urbana;Outros Tipos;1245893
Piauí;Todas as Raças;Todas as situações;Casal com filhas/os;107616
Piauí;Todas as Raças;Todas as situações;Casal sem filhas/os;38682
Piauí;Todas as Raças;Todas as situações;Unipessoal;54933
Piauí;Todas as Raças;Todas as situações;Outros;41480
Piauí;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;187240
Piauí;Todas as Raças;Todas as situações;Todos os tipos;429951
Piauí;Branca;Todas as situações;Outros Tipos;82405
Piauí;Negra;Todas as situações;Outros Tipos;346424
Piauí;Outras;Todas as situações;Outros Tipos;1122
Piauí;Todas as Raças;Rural;Outros Tipos;86893
Piauí;Todas as Raças;Urbana;Outros Tipos;343058
Rio de Janeiro;Todas as Raças;Todas as situações;Casal sem filhas/os;296582
Rio de Janeiro;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;1005827
Rio de Janeiro;Todas as Raças;Todas as situações;Unipessoal;649554
Rio de Janeiro;Todas as Raças;Todas as situações;Outros;195606
Rio de Janeiro;Todas as Raças;Todas as situações;Casal com filhas/os;493413
Rio de Janeiro;Todas as Raças;Todas as situações;Todos os tipos;2640982
Rio de Janeiro;Branca;Todas as situações;Outros Tipos;1269950
Rio de Janeiro;Negra;Todas as situações;Outros Tipos;1358728
Rio de Janeiro;Outras;Todas as situações;Outros Tipos;12304
Rio de Janeiro;Todas as Raças;Rural;Outros Tipos;43865
Rio de Janeiro;Todas as Raças;Urbana;Outros Tipos;2597117
Rio Grande do Norte;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;223334
Rio Grande do Norte;Todas as Raças;Todas as situações;Casal sem filhas/os;51278
