"CÓDIGO DO
IBGE";MUNICÍPIO;UF;NOME DA UNIDADE;ENDEREÇO ;RESPONSÁVEL
311530;CATAGUASES;MG;Centro de Referência de Proteção e Inclusão Social de Mulheres Casa de Maria - Cataguases;Rua Vanda da Silva Andrade, nº 151 - Referência: Próximo a Policlínica;Municipal
311800;CONGONHAS;MG;Centro de Referência da Mulher (CRM) Casa da Mulher - Congonhas ;Rua Antônio Andrade de Freitas, nº 03 - Referência: Atrás do Supermercado BH ;Municipal
311860;CONTAGEM;MG;Espaço Bem Me Quero - Centro de Referência de Atendimento às Mulheres Vítimas de Violência Doméstica - Contagem;Rua José Carlos Camargos, nº 218;Municipal
313670;JUIZ DE FORA;MG;Casa da Mulher - Centro de Referência - Juiz de Fora;Rua Uruguaiana, nº 94 - Referência: ao lado da Praça Principal ;Municipal
314480;NOVA LIMA;MG;Centro de Referência da Mulher (CRM) - Nova Lima;Rua Tiradentes, nº 38 - Referência: próximo à Praça do Mineiro;Municipal
315120;PIRAPORA;MG;Centro de Referência da Mulher (CRM) - Pirapora;Rua Professora Marieta Amorim, nº 63 - Referência: Próximo a Agência dos Correios ;Municipal
315670;SABARÁ;MG;Centro de Referência Especializado de Atendimento à Mulher (CREAM) Viva Mulher - Sabará;Praça João Antero Lopes, nº 112 – Referência: Próximo ao Bosque;Municipal
317010;UBERABA;MG;Centro de Referência de Assistência à Mulher Vítima de Violência Doméstica Naná Rodrigues da Cunha - Uberaba;Rua Amaro Ferreira, nº 221;Municipal
317020;UBERLÂNDIA;MG;Centro Integrado da Mulher (CIM) - Uberlândia;Rua Cruzeiro dos Peixotos, nº 557 - Referência: Próximo à caixa de d’água do DEMAIS;Estadual
313760;LAGOA SANTA;MG;Reviver Centro de Referência da Mulher (CRM) - Lagoa Santa;Rua Pinto Alves, nº 395;Estadual
315180;POÇOS DE CALDAS;MG;Serviço de Proteção e Atendimento Especializado as Famílias e Indivíduos (PAEFI Mulher) - Poços de Caldas;Rua Corumbá, nº 72 -   jardim dos estados Referência: Serviço funciona dentro do CREAS ;Municipal
500110;AQUIDAUANA;MS;Centro de Referência de Atendimento à Mulher (CRAM) - Aquidauana;Rua Antônio Nogueira, nº 818  ;Municipal
500270;CAMPO GRANDE;MS;Centro de Atendimento à Mulher em Situação de Violência Cunã Mbaretê (CAM) - Campo Grande;Rua 7 de Setembro, nº 1628 ;Estadual
500320;CORUMBÁ;MS;Centro de Referência à Mulher em Situação de Violência (CRAM) - Corumbá;Rua Major Gama, nº 612;Municipal
500330;COXIM;MS;Centro de Referência e Atendimento a Mulher em Situação de Violência (CRAM) - Coxim ;Avenida Virginia Ferreira, nº 307, Fundos ;Municipal
500370;DOURADOS;MS;Centro de Atendimento a Mulher em Situação de Violência Doméstica - Viva Mulher - Dourados;Rua Iran Pereira de Matos, nº 1520;Municipal
500380;FÁTIMA DO SUL;MS;Centro de Referência de Atendimento à Mulher (CRAM) - Fátima do Sul ;Rua Cristobalina Ruiz Cabelo, nº 1976  ;Municipal
500500;JARDIM;MS;Centro de Atendimento à Mulher (CAM) - Jardim ;Rua Marechal Rondon, nº 860 ;Estadual
500570;NAVIRAÍ;MS;Centro de Referência de Atendimento à Mulher (CRAM) - Naviraí;Rua Rui Barbosa, nº 182;Municipal
500620;NOVA ANDRADINA;MS;Centro de Atendimento à Mulher (CAM) Nova Vida - Nova Andradina ;Rua Santa Lúcia, nº 1058 ;Municipal
500630;PARANAÍBA;MS;Centro de Atendimento a Mulher em Situação de Violência - Paranaíba ;Rua Juscelino Kubitschek, 55 ;Estadual
500660;PONTA PORÃ;MS;Centro de Referência e Atendimento à Mulher Vítima de violência (CAM) - Ponta Porã;Rua Tiradentes, nº 1559 ;Estadual
500830;TRÊS LAGOAS;MS;Centro de Referência de Atendimento à Mulher em Situação de Violência (CRAM) - Três Lagoas ;Rua Josino da Cunha Viana , nº 1399;Municipal
510525;LUCAS DO RIO VERDE;MT;Centro de Referência de Atendimento à Mulher (CRAM) - Lucas do Rio Verde ;Avenida Bahia ;Municipal
150010;ABAETETUBA;PA;Centro de Referência Especializado de Atendimento à Mulher (CREAM) - Abaetetuba;Estrada do Beja Km 01, s/nº ;Municipal
150080;ANANINDEUA;PA;Centro de Referência de Atendimento à Mulher em Situação de Violência (CRAM) - Ananindeua;Conjunto Cidade Nova 8 - Estrada da Providência s/nº  entre Travessas WE 30 e 33 - Referência : Praça do Complexo Cidade Nova 8  ;Municipal
150140;BELÉM;PA;"Centro de Referência de Atendimento à Mulher em Situação de Violência (CRAM)- Belém


";Travessa Humaitá, nº 2321;Estadual
150180;BREVES;PA;Centro de Referência de Atendimento à Mulher (CRAM) - Breves;Avenida Melgaço, nº 283;Municipal
150220;CAPANEMA;PA;Centro de Referência de Atendimento à Mulher (CRAM) Maria do Pará - Capanema;Travessa Pariquis, s/nº  ;Municipal
150360;ITAITUBA;PA;Centro de Referência Especializado - Maria do Pará - Itaituba;9º Rua da Cidade Alta nº 420 Referência: entre a 13 de Maio e Lauro Sodré   ;Municipal
150380;JACUNDÁ;PA;"Centro de Referência de Atendimento à Mulher (CRAM)
 Maria do Pará - Jacundá
";Rua Jatobal nº 106   ;Municipal
150553;PARAUAPEBAS;PA;Centro de Referência para Mulheres (CRM) - Parauapebas;Rua 14, nº 204   Referência: Ao lado da Casa da Bíblia;Municipal
150680;SANTARÉM;PA;Centro de Referência Especializado de Atendimento à Mulher - Santarém;Rua Magnólia, s/n°;Municipal
150810;TUCURUÍ;PA;Centro de Referência Maria do Pará - Tucuruí;Rua São Paulo, s/nº;Municipal
150840;XINGUARA;PA;"Centro de Referência de Atendimento à Mulher (CRAM) 
Maria do Pará - Xinguara  
";Rua Pedro Álvares Cabral, nº 10   ;Municipal
150145;BELTERRA;PA; Centro de Referência da Mulher (CRM) - Belterra;Rua Doutor Felisberto Camargo, nº 1.182   ;Municipal
