UF;Raça/Cor;Faixa Etária;Situação do Domicílio;Homens;Mulheres
Tocantins;Todas;Todas;Rural;  78.33;  83.15
Tocantins;Branca;Todas;Todas;  95.69;  95.35
Tocantins;Negra;Todas;Todas;  85.96;  88.77
Tocantins;Todas;10 a 24 anos;Todas;  98.85;  98.95
Tocantins;Todas;25 a 49 anos;Todas;  91.79;  95.11
Tocantins;Todas;50 anos ou mais;Todas;  68.34;  70.42
Tocantins;Total;Todas;Todas;  87.98;  90.22
Tocantins;Todas;Todas;Urbana;  90.66;  91.66
Todas as UFs;Todas;Todas;Rural;  79.94;  83.31
Todas as UFs;Branca;Todas;Todas;  95.29;  95.27
Todas as UFs;Negra;Todas;Todas;  89.28;  90.30
Todas as UFs;Todas;10 a 24 anos;Todas;  98.16;  99.14
Todas as UFs;Todas;25 a 49 anos;Todas;  93.62;  96.03
Todas as UFs;Todas;50 anos ou mais;Todas;  82.72;  82.25
Todas as UFs;Total;Todas;Todas;  91.96;  92.65
Todas as UFs;Todas;Todas;Urbana;  94.15;  93.99
