"UF";"Grupamentos";"Total"
"Paraná";"Indústria de transformação";1011525
"Paraná";"Outras atividades";462304
"Paraná";"Outras atividades industriais";28240
"Paraná";"Outros serviços coletivos, sociais e pessoais";218113
"Paraná";"Serviços domésticos";316044
"Paraná";"Transporte, armazenagem e comunicação";341769
"Pernambuco";"Administração pública";206759
"Pernambuco";"Agrícola";673677
"Pernambuco";"Alojamento e alimentação";196786
"Pernambuco";"Atividades maldefinidas";7522
"Pernambuco";"Comércio e reparação";721690
"Pernambuco";"Construção";350543
"Pernambuco";"Educação, saúde e serviços sociais";390980
"Pernambuco";"Indústria de transformação";406087
"Pernambuco";"Outras atividades";295323
"Pernambuco";"Outras atividades industriais";20048
"Pernambuco";"Outros serviços coletivos, sociais e pessoais";153832
"Pernambuco";"Serviços domésticos";210254
"Pernambuco";"Transporte, armazenagem e comunicação";247970
"Piauí";"Administração pública";65581
"Piauí";"Agrícola";558309
"Piauí";"Alojamento e alimentação";57175
"Piauí";"Atividades maldefinidas";560
"Piauí";"Comércio e reparação";256161
"Piauí";"Construção";149104
"Piauí";"Educação, saúde e serviços sociais";165365
"Piauí";"Indústria de transformação";93058
"Piauí";"Outras atividades";53815
"Piauí";"Outras atividades industriais";6724
"Piauí";"Outros serviços coletivos, sociais e pessoais";53256
"Piauí";"Serviços domésticos";103704
"Piauí";"Transporte, armazenagem e comunicação";45405
"Rio de Janeiro";"Administração pública";494667
"Rio de Janeiro";"Agrícola";100671
"Rio de Janeiro";"Alojamento e alimentação";507000
"Rio de Janeiro";"Atividades maldefinidas";17479
"Rio de Janeiro";"Comércio e reparação";1458146
"Rio de Janeiro";"Construção";799354
"Rio de Janeiro";"Educação, saúde e serviços sociais";869594
"Rio de Janeiro";"Indústria de transformação";637545
"Rio de Janeiro";"Outras atividades";934345
"Rio de Janeiro";"Outras atividades industriais";117662
"Rio de Janeiro";"Outros serviços coletivos, sociais e pessoais";434609
"Rio de Janeiro";"Serviços domésticos";665510
"Rio de Janeiro";"Transporte, armazenagem e comunicação";535702
"Rio Grande do Norte";"Administração pública";99858
"Rio Grande do Norte";"Agrícola";270557
"Rio Grande do Norte";"Alojamento e alimentação";76925
"Rio Grande do Norte";"Atividades maldefinidas";0
"Rio Grande do Norte";"Comércio e reparação";310376
"Rio Grande do Norte";"Construção";134269
"Rio Grande do Norte";"Educação, saúde e serviços sociais";151796
"Rio Grande do Norte";"Indústria de transformação";133596
"Rio Grande do Norte";"Outras atividades";89063
"Rio Grande do Norte";"Outras atividades industriais";24962
"Rio Grande do Norte";"Outros serviços coletivos, sociais e pessoais";68145
"Rio Grande do Norte";"Serviços domésticos";79623
"Rio Grande do Norte";"Transporte, armazenagem e comunicação";64096
"Rio Grande do Sul";"Administração pública";287574
"Rio Grande do Sul";"Agrícola";1032063
"Rio Grande do Sul";"Alojamento e alimentação";203406
"Rio Grande do Sul";"Atividades maldefinidas";5033
"Rio Grande do Sul";"Comércio e reparação";1034303
"Rio Grande do Sul";"Construção";484092
"Rio Grande do Sul";"Educação, saúde e serviços sociais";609118
"Rio Grande do Sul";"Indústria de transformação";987278
"Rio Grande do Sul";"Outras atividades";500194
"Rio Grande do Sul";"Outras atividades industriais";41721
"Rio Grande do Sul";"Outros serviços coletivos, sociais e pessoais";213641
"Rio Grande do Sul";"Serviços domésticos";386948
"Rio Grande do Sul";"Transporte, armazenagem e comunicação";294289
"Rondônia";"Administração pública";60203
"Rondônia";"Agrícola";195480
"Rondônia";"Alojamento e alimentação";33500
"Rondônia";"Atividades maldefinidas";252
"Rondônia";"Comércio e reparação";162712
"Rondônia";"Construção";79856
"Rondônia";"Educação, saúde e serviços sociais";82619
"Rondônia";"Indústria de transformação";66502
"Rondônia";"Outras atividades";52133
"Rondônia";"Outras atividades industriais";7807
"Rondônia";"Outros serviços coletivos, sociais e pessoais";29719
"Rondônia";"Serviços domésticos";43830
"Rondônia";"Transporte, armazenagem e comunicação";39289
"Roraima";"Administração pública";27561
"Roraima";"Agrícola";41254
"Roraima";"Alojamento e alimentação";15397
"Roraima";"Atividades maldefinidas";0
"Roraima";"Comércio e reparação";40301
"Roraima";"Construção";24333
"Roraima";"Educação, saúde e serviços sociais";30799
"Roraima";"Indústria de transformação";7602
"Roraima";"Outras atividades";16919
"Roraima";"Outras atividades industriais";4751
"Roraima";"Outros serviços coletivos, sociais e pessoais";8744
"Roraima";"Serviços domésticos";13680
"Roraima";"Transporte, armazenagem e comunicação";9124
"Santa Catarina";"Administração pública";154402
"Santa Catarina";"Agrícola";439556
"Santa Catarina";"Alojamento e alimentação";140485
"Santa Catarina";"Atividades maldefinidas";696
"Santa Catarina";"Comércio e reparação";650274
"Santa Catarina";"Construção";280279
"Santa Catarina";"Educação, saúde e serviços sociais";322723
"Santa Catarina";"Indústria de transformação";833188
"Santa Catarina";"Outras atividades";299066
"Santa Catarina";"Outras atividades industriais";17388
"Santa Catarina";"Outros serviços coletivos, sociais e pessoais";139801
"Santa Catarina";"Serviços domésticos";159953
"Santa Catarina";"Transporte, armazenagem e comunicação";201687
"São Paulo";"Administração pública";848076
"São Paulo";"Agrícola";686705
"São Paulo";"Alojamento e alimentação";1069594
"São Paulo";"Atividades maldefinidas";6307
"São Paulo";"Comércio e reparação";4130336
"São Paulo";"Construção";1865270
"São Paulo";"Educação, saúde e serviços sociais";2480424
"São Paulo";"Indústria de transformação";3785551
"São Paulo";"Outras atividades";3034726
"São Paulo";"Outras atividades industriais";95668
"São Paulo";"Outros serviços coletivos, sociais e pessoais";1052279
"São Paulo";"Serviços domésticos";1541953
"São Paulo";"Transporte, armazenagem e comunicação";1421574
"Sergipe";"Administração pública";57109
"Sergipe";"Agrícola";251568
"Sergipe";"Alojamento e alimentação";48436
"Sergipe";"Atividades maldefinidas";0
"Sergipe";"Comércio e reparação";187586
"Sergipe";"Construção";88550
"Sergipe";"Educação, saúde e serviços sociais";97222
"Sergipe";"Indústria de transformação";87832
"Sergipe";"Outras atividades";52048
"Sergipe";"Outras atividades industriais";10844
"Sergipe";"Outros serviços coletivos, sociais e pessoais";41918
"Sergipe";"Serviços domésticos";58550
"Sergipe";"Transporte, armazenagem e comunicação";51321
"Tocantins";"Administração pública";51785
"Tocantins";"Agrícola";192865
"Tocantins";"Alojamento e alimentação";28826
"Tocantins";"Atividades maldefinidas";0
"Tocantins";"Comércio e reparação";127046
"Tocantins";"Construção";66581
"Tocantins";"Educação, saúde e serviços sociais";82664
"Tocantins";"Indústria de transformação";44129
"Tocantins";"Outras atividades";29340
"Tocantins";"Outras atividades industriais";5355
"Tocantins";"Outros serviços coletivos, sociais e pessoais";19388
"Tocantins";"Serviços domésticos";46438
"Tocantins";"Transporte, armazenagem e comunicação";21430
"Todas as UFs";"Administração pública";5144743
"Todas as UFs";"Agrícola";13844932
"Todas as UFs";"Alojamento e alimentação";4547670
"Todas as UFs";"Atividades maldefinidas ";63178
"Todas as UFs";"Comércio e reparação";17838666
"Todas as UFs";"Construção";8961620
"Todas as UFs";"Educação, saúde e serviços sociais";10177845
"Todas as UFs";"Indústria";797303
"Todas as UFs";"Indústria de transformação";12226678
"Todas as UFs";"Outras atividades";8589814
"Todas as UFs";"Outros serviços coletivos, sociais e pessoais";4135111
"Todas as UFs";"Serviços domésticos";6398675
"Todas as UFs";"Transporte, armazenagem e comunicação";5385953
