UF;Raça/Cor;Situação do Domicílio;Tipo de família;Famílias
Pará;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;413973
Paraíba;Branca;Todos as situações;Outros tipos;188089
Paraíba;Negra;Todos as situações;Outros tipos;348773
Paraíba;Outras;Todos as situações;Outros tipos;3735
Paraíba;Todas as raças;Rural;Outros tipos;350018
Paraíba;Todas as raças;Urbana;Outros tipos;190579
Paraíba;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;258465
Paraíba;Todas as raças;Todos as situações;Outros;49820
Paraíba;Todas as raças;Todos as situações;Casal sem filhas/os;55432
Paraíba;Todas as raças;Todos as situações;Todos os tipos;540597
Paraíba;Todas as raças;Todos as situações;Casal com filhas/os;105254
Paraíba;Todas as raças;Todos as situações;Unipessoal;71626
Paraná;Branca;Todos as situações;Outros tipos;945384
Paraná;Negra;Todos as situações;Outros tipos;477507
Paraná;Outras;Todos as situações;Outros tipos;15763
Paraná;Todas as raças;Rural;Outros tipos;488411
Paraná;Todas as raças;Urbana;Outros tipos;950243
Paraná;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;521924
Paraná;Todas as raças;Todos as situações;Outros;77947
Paraná;Todas as raças;Todos as situações;Todos os tipos;1438654
Paraná;Todas as raças;Todos as situações;Casal com filhas/os;361939
Paraná;Todas as raças;Todos as situações;Unipessoal;315524
Paraná;Todas as raças;Todos as situações;Casal sem filhas/os;161320
Pernambuco;Branca;Todos as situações;Outros tipos;439336
Pernambuco;Negra;Todos as situações;Outros tipos;940245
Pernambuco;Outras;Todos as situações;Outros tipos;9947
Pernambuco;Todas as raças;Rural;Outros tipos;944292
Pernambuco;Todas as raças;Urbana;Outros tipos;445236
Pernambuco;Todas as raças;Todos as situações;Casal sem filhas/os;147774
Pernambuco;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;582393
Pernambuco;Todas as raças;Todos as situações;Unipessoal;204505
Pernambuco;Todas as raças;Todos as situações;Casal com filhas/os;344132
Pernambuco;Todas as raças;Todos as situações;Outros;110724
Pernambuco;Todas as raças;Todos as situações;Todos os tipos;1389528
Piauí;Branca;Todos as situações;Outros tipos;82405
Piauí;Negra;Todos as situações;Outros tipos;346424
Piauí;Outras;Todos as situações;Outros tipos;1122
Piauí;Todas as raças;Rural;Outros tipos;346424
Piauí;Todas as raças;Urbana;Outros tipos;83527
Piauí;Todas as raças;Todos as situações;Casal com filhas/os;107616
Piauí;Todas as raças;Todos as situações;Casal sem filhas/os;38682
Piauí;Todas as raças;Todos as situações;Unipessoal;54933
Piauí;Todas as raças;Todos as situações;Outros;41480
Piauí;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;187240
Piauí;Todas as raças;Todos as situações;Todos os tipos;429951
Rio de Janeiro;Branca;Todos as situações;Outros tipos;1269950
Rio de Janeiro;Negra;Todos as situações;Outros tipos;1358728
Rio de Janeiro;Outras;Todos as situações;Outros tipos;12304
Rio de Janeiro;Todas as raças;Rural;Outros tipos;1367799
Rio de Janeiro;Todas as raças;Urbana;Outros tipos;1273183
Rio de Janeiro;Todas as raças;Todos as situações;Casal sem filhas/os;296582
Rio de Janeiro;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;1005827
Rio de Janeiro;Todas as raças;Todos as situações;Unipessoal;649554
Rio de Janeiro;Todas as raças;Todos as situações;Outros;195606
Rio de Janeiro;Todas as raças;Todos as situações;Casal com filhas/os;493413
Rio de Janeiro;Todas as raças;Todos as situações;Todos os tipos;2640982
Rio Grande do Norte;Branca;Todos as situações;Outros tipos;180149
Rio Grande do Norte;Negra;Todos as situações;Outros tipos;298237
Rio Grande do Norte;Outras;Todos as situações;Outros tipos;674
Rio Grande do Norte;Todas as raças;Rural;Outros tipos;298237
Rio Grande do Norte;Todas as raças;Urbana;Outros tipos;180823
Rio Grande do Norte;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;223334
Rio Grande do Norte;Todas as raças;Todos as situações;Casal sem filhas/os;51278
Rio Grande do Norte;Todas as raças;Todos as situações;Casal com filhas/os;107284
Rio Grande do Norte;Todas as raças;Todos as situações;Todos os tipos;479060
Rio Grande do Norte;Todas as raças;Todos as situações;Unipessoal;56675
Rio Grande do Norte;Todas as raças;Todos as situações;Outros;40489
Rio Grande do Sul;Branca;Todos as situações;Outros tipos;1435733
Rio Grande do Sul;Negra;Todos as situações;Outros tipos;366858
Rio Grande do Sul;Outras;Todos as situações;Outros tipos;9857
